Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
351,Pharm2D-Gobbi,"[128,64]",0.959322034,0.957847034,0.941527588,0.94896416,0.982657826,0.970857033,0.979784261,887,5
355,Pharm2D-Gobbi,"[128,64,16]",0.959322034,0.956811929,0.942746945,0.949076072,0.981078878,0.969215645,0.978821503,888,4
362,Pharm2D-Gobbi,"[32,16,8]",0.959322034,0.951086975,0.949153288,0.949908883,0.972673021,0.972382477,0.980252199,873,19
375,Pharm2D-Pmapper,"[512,64]",0.959322034,0.953764477,0.946710431,0.949448613,0.975822627,0.970736389,0.97975308,888,4
436,Pattern,"[128,32]",0.959322034,0.954407744,0.945136821,0.949434816,0.977929272,0.970442218,0.982030587,892,0
512,SECFP,"[256,64,16]",0.959322034,0.954727411,0.94470406,0.949322731,0.978450062,0.972170801,0.97781009,885,7
223,FeatMorgan,"[32,4]",0.958945386,0.952687636,0.94552231,0.948934804,0.976377953,0.966894721,0.976010499,889,3
319,Morgan,"[512,64]",0.958945386,0.949948756,0.948755906,0.949290914,0.972178478,0.974552185,0.981970254,890,2
363,Pharm2D-Gobbi,"[32,4]",0.958945386,0.95401627,0.946094821,0.949359265,0.975836441,0.964057834,0.972356417,889,3
364,Pharm2D-Gobbi,"[16,8]",0.958945386,0.953681907,0.945676957,0.949172216,0.976351706,0.973058611,0.979869527,880,12
383,Pharm2D-Pmapper,"[128,64,16]",0.958945386,0.951856015,0.947282162,0.949331874,0.974246443,0.969265917,0.979067987,883,9
388,Pharm2D-Pmapper,"[32,16]",0.958945386,0.95215271,0.947249185,0.949265637,0.974242299,0.970364068,0.978675914,886,6
435,Pattern,"[128,64]",0.958945386,0.952605639,0.946059081,0.94905744,0.975826772,0.971267331,0.982424502,892,0
443,Pattern,"[64,32,16]",0.958945386,0.955120153,0.943685212,0.948916996,0.978981904,0.970980699,0.982408287,886,6
224,FeatMorgan,"[16,8]",0.958568738,0.954348324,0.942834646,0.948239499,0.979002625,0.974511979,0.980972878,889,3
310,Morgan,"[256,64]",0.958568738,0.955111576,0.942026247,0.948182755,0.980052493,0.974462584,0.982271216,890,2
326,Morgan,"[128,64,32]",0.958568738,0.953785274,0.943238845,0.948274255,0.97847769,0.970759213,0.97992301,889,3
386,Pharm2D-Pmapper,"[64,16]",0.958568738,0.950856884,0.947390917,0.948797142,0.97319243,0.968701962,0.977899074,887,5
541,Torsion,"[512,256]",0.958568738,0.948368337,0.950110236,0.948987069,0.969553806,0.970689118,0.979527559,887,5
201,FeatMorgan,"[256,128,64]",0.95819209,0.948112889,0.94903937,0.948485823,0.97007874,0.972995592,0.980741907,884,8
206,FeatMorgan,"[512,128]",0.95819209,0.949919612,0.946614173,0.948205225,0.973228346,0.971676381,0.980528434,885,7
215,FeatMorgan,"[128,64,16]",0.95819209,0.95223238,0.944188976,0.947870465,0.976377953,0.972027713,0.979849519,887,5
220,FeatMorgan,"[32,16]",0.95819209,0.952692689,0.943380577,0.947834318,0.977427822,0.974175696,0.980955381,892,0
312,Morgan,"[256,16]",0.95819209,0.955679701,0.940551181,0.947548445,0.981102362,0.971205123,0.979650044,890,2
313,Morgan,"[256,128,64]",0.95819209,0.953202189,0.942976378,0.947835074,0.977952756,0.971979731,0.980972878,890,2
314,Morgan,"[256,128,32]",0.95819209,0.953180633,0.942976378,0.947873522,0.977952756,0.973333371,0.981403325,890,2
315,Morgan,"[256,64,32]",0.95819209,0.952082946,0.944188976,0.947958508,0.976377953,0.971629503,0.980605424,887,5
330,Morgan,"[64,16]",0.95819209,0.955070309,0.940955381,0.94761804,0.980577428,0.974022751,0.981315836,890,2
340,Pharm2D-Gobbi,"[256,16]",0.95819209,0.949895,0.947143347,0.948344573,0.97266197,0.971537163,0.979402619,885,7
384,Pharm2D-Pmapper,"[128,32,16]",0.95819209,0.948838869,0.949151099,0.948642188,0.970037298,0.967205015,0.977245659,887,5
385,Pharm2D-Pmapper,"[64,32]",0.95819209,0.952597356,0.945124422,0.948108281,0.975290786,0.968659979,0.977367614,885,7
390,Pharm2D-Pmapper,"[32,16,8]",0.95819209,0.949055178,0.948322278,0.948480583,0.971081641,0.969362223,0.978394774,887,5
424,Pattern,"[256,16]",0.95819209,0.950455644,0.946330953,0.948290101,0.973721508,0.970375722,0.982056627,890,2
426,Pattern,"[256,128,32]",0.95819209,0.951842706,0.945126494,0.948147785,0.97529493,0.970932692,0.98220208,892,0
433,Pattern,"[512,256,64]",0.95819209,0.953641677,0.94273055,0.947921967,0.978450062,0.969591462,0.981500856,889,3
445,Pattern,"[32,8]",0.95819209,0.950889994,0.945945104,0.948305452,0.974247824,0.971897112,0.98206451,888,4
535,Torsion,"[256,32]",0.95819209,0.949974421,0.947018373,0.948261582,0.972703412,0.969726537,0.979492563,887,5
202,FeatMorgan,"[256,128,32]",0.957815443,0.949256214,0.946351706,0.947736491,0.972703412,0.973213309,0.980412948,886,6
210,FeatMorgan,"[512,128,64]",0.957815443,0.949973853,0.945543307,0.947648356,0.973753281,0.972255212,0.980171479,886,6
214,FeatMorgan,"[128,64,32]",0.957815443,0.951802307,0.94352231,0.947431355,0.976377953,0.969836213,0.978222222,886,6
