,Unnamed: 0,fcfp_binary,fcfp_prob,ecfp_binary,ecfp_prob,p2gob_binary,p2gob_prob,secfp_binary,secfp_prob,feat_binary,feat_prob,p2map_binary,p2map_prob,mor_binary,mor_prob,pat_binary,pat_prob,tor_binary,tor_prob,lay_binary,lay_prob,sum_binary,sum_prob,SMILES,ID
17,17,0.0,0.031125702,0.0,0.21857275,0.0,0.0028663634,0.0,0.016883058,0.0,0.006179253,0.0,0.10990027,0.0,0.07377304,0.0,0.014280303,0.0,0.013083442,0.0,0.004624348,0.0,0.49128845,O=C1NC(=O)\C(=C/c2c[nH]c3ccccc23)\N1,18701
18,18,0.0,0.014700167,0.0,0.0011209317,0.0,0.0007864924,0.0,0.007999968,0.0,0.009710824,0.0,7.5204516e-05,0.0,0.0060517034,0.0,0.018889828,0.0,0.017692026,0.0,0.00026727322,0.0,0.07729442,OCC(O)C(O)C(O)C(O)c1nc2cc(Cl)ccc2[nH]1,18719
19,19,0.0,0.040639166,0.0,0.023234077,0.0,0.0006692298,0.0,0.023664005,0.0,0.006861046,0.0,0.006804773,0.0,0.024647601,0.0,0.0127976,0.0,0.0022267962,0.0,0.0050345124,0.0,0.1465788,Nc1ncnc2c1cnn2Cc3ccccc3,19127
20,20,0.0,0.038817693,0.0,0.037699968,0.0,0.0030239604,0.0,0.019114632,0.0,0.013904261,0.0,0.020022385,0.0,0.111376286,0.0,0.06778883,0.0,0.05657019,0.0,0.073477484,0.0,0.44179568,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3O,19801
21,21,0.0,0.022808814,0.0,0.0073371814,0.0,0.018392768,0.0,0.049260363,0.0,0.062930465,0.0,0.011428261,0.0,0.0048915106,0.0,0.4909755,0.0,0.00053671934,0.0,0.041760866,0.0,0.7103225,CC1(C)C(N2CCOCC2)c3cc4ccccc4nc3c5ccccc15,19838
22,22,0.0,0.009457115,0.0,0.002129108,0.0,0.00021914471,0.0,0.052423723,0.0,0.0066841976,0.0,0.0003228422,0.0,0.043788917,0.0,0.025425637,0.0,0.009398129,0.0,0.0008935333,0.0,0.15074235,OC1C(CNc2ccccn2)OC(Nc3ccccn3)C(O)C1O,20634
23,23,0.0,0.0019005247,0.0,0.0031169378,0.0,0.00040655764,0.0,0.0031169425,0.0,0.0011382153,0.0,0.0086567905,0.0,0.0052358517,0.0,0.007144431,0.0,0.00572282,0.0,1.6178645e-05,0.0,0.036455248,Clc1ccc(CNc2ncnc3[nH]ncc23)c(Cl)c1,21099
24,24,0.0,0.012419057,0.0,0.017695298,0.0,0.06074497,0.0,0.07516086,0.0,0.011983399,0.0,0.03856251,0.0,0.03464017,0.0,0.005951856,0.0,0.09924436,0.0,0.0032647725,0.0,0.35966724,CCc1cnc2ccccc2c1C(=O)O,21505
25,25,0.0,0.05513579,0.0,0.13767202,0.0,0.030362729,0.0,0.05380314,0.0,0.0933535,0.0,0.118276,0.0,0.30860975,0.0,0.014966539,0.0,0.2917111,0.0,0.00024816007,0.0,1.1041389,COc1ccc2nccc(C(=O)CCC3CCNCC3C=C)c2c1,21547
26,26,0.0,0.031687763,0.0,0.095358044,0.0,0.0006477642,0.0,0.116617955,0.0,0.024284713,0.0,0.029742885,0.0,0.17436743,0.0,0.03130923,0.0,0.06443219,0.0,0.04972884,0.0,0.6181768,CSc1nc2NC=NC(=O)c2[nH]1,22737
27,27,0.0,0.016010625,0.0,0.055168733,0.0,0.0006477642,0.0,0.12899245,0.0,0.024284713,0.0,0.025096215,0.0,0.3778079,0.0,0.015262395,0.0,0.028708715,0.0,0.0031044474,0.0,0.6750839,CSc1nc2NC=NC(=S)c2[nH]1,22743
28,28,0.0,0.009760088,0.0,0.0128981965,0.0,0.0112299835,0.0,0.0061693867,0.0,0.018083608,0.0,0.017525198,0.0,0.006950745,0.0,0.0016793674,0.0,0.004873493,0.0,1.37011344e-08,0.0,0.089170076,O=S(Nc1sc(CCCC)nn1)(c2ccc(NC(C)=O)cc2)=O,23006
29,29,0.0,0.0019903108,0.0,0.0058273356,0.0,0.06599813,0.0,0.025699975,0.0,0.00058773765,0.0,0.21621355,0.0,0.008927568,0.0,0.004622209,0.0,0.0095098615,0.0,0.0002916427,0.0,0.33966833,COC1=CC(=O)OC(CCc2ccc3OCOc3c2)C1,23878
30,30,0.0,0.047685634,0.0,0.0128503,0.0,0.044686906,0.0,0.04717981,0.0,0.10455801,0.0,0.10977435,0.0,0.01883297,0.0,0.036237866,0.0,0.08060346,0.0,0.00045920067,0.0,0.50286853,C(CCc1nc2ccccc2[nH]1)Cc3nc4ccccc4[nH]3,24864
31,31,0.0,0.12044179,0.0,0.19975354,0.0,0.0146026,0.0,0.25237134,0.0,0.32269007,0.0,0.23148626,0.0,0.0886447,0.0,0.20012055,0.0,0.011519853,0.0,0.00062632636,0.0,1.442257,O=C(Nc1nc2ccccc2s1)OCCOC(=O)Nc3nc4ccccc4s3,26836
32,32,0.0,0.008224297,0.0,0.0009719256,0.0,0.3120685,0.0,0.013448275,0.0,0.0016088772,0.0,0.0015980144,0.0,0.02127916,0.0,0.047517013,0.0,0.05750816,0.0,0.057243507,0.0,0.5214677,COc1c(O)cc2Oc3cc(O)c(CC=C(C)C)c(O)c3C(=O)c2c1CC=C(C)C,27593
33,33,0.0,0.00097324565,0.0,3.386275e-05,0.0,0.0025624663,0.0,0.020412898,0.0,0.0064287707,0.0,6.9734683e-06,0.0,0.0027266492,0.0,0.1946027,0.0,0.0037831583,0.0,0.00058798195,0.0,0.2321187,CCN(CC)CCNc1nc(N)c2nc(c3ccccc3)c(nc2n1)c4ccccc4,29140
34,34,0.0,0.039875805,0.0,0.047829043,0.0,0.0006352934,0.0,0.081151426,0.0,0.3267391,0.0,0.013271234,0.0,0.11499865,0.0,0.016907753,0.0,0.08921776,0.0,0.000578051,0.0,0.7312041,CSc1nc(N)nc2nc[nH]c12,29420
35,35,0.0,0.047468457,0.0,0.021955568,0.0,0.0054524075,0.0,0.029319404,0.0,0.032491352,0.0,0.010604379,0.0,0.026386024,0.0,0.0063055777,0.0,0.0050974158,0.0,0.0003752572,0.0,0.18545584,C(Sc1ncnc2nc[nH]c12)c3ccccc3,29421
36,36,0.0,0.022611586,0.0,0.028226092,0.0,0.0021883706,0.0,0.006846784,0.0,0.002707932,0.0,0.0014565288,0.0,0.031515304,0.0,0.01296958,0.0,0.0059015914,0.0,2.6135454e-05,0.0,0.1144499,NC1=NC(=O)c2nnn(Cc3ccc(Cl)c(Cl)c3)c2N1,29588
37,37,0.0,0.12748232,0.0,0.099088825,0.0,0.0034841544,0.0,0.03599062,0.0,0.042933207,0.0,0.042280134,0.0,0.0513891,0.0,0.023309715,0.0,0.08952189,0.0,0.0028918192,0.0,0.5183718,Nc1nc(N)c2ncn(c3ccc(Br)cc3)c2n1,29605
38,38,0.0,0.019004993,0.0,0.02242908,0.0,0.00012975588,0.0,0.1263837,0.0,0.16041392,0.0,0.011741825,0.0,0.063043475,0.0,0.018356865,0.0,0.01944465,0.0,0.08875029,0.0,0.52969855,Nc1nc(Nc2ccccc2)c3[nH]cnc3n1,29611
39,39,0.0,0.035765957,0.0,0.041793358,0.0,0.00979304,0.0,0.035546623,0.0,0.007660623,0.0,0.094380565,0.0,0.22776036,0.0,0.0032385064,0.0,0.009746365,0.0,6.126246e-05,0.0,0.4657467,O=C1NC(=S)S/C/1=C/c2ccc3OCOc3c2,31059
40,40,0.0,0.019562101,0.0,0.012998747,0.0,0.016911607,0.0,0.10221285,0.0,0.2205833,0.0,0.09178354,0.0,0.008797047,0.0,0.0076710954,0.0,0.008056132,0.0,0.006247885,0.0,0.4948243,OC1=CC=C(CC2=CC=CC=C2)C3=C1N=CC=C3,32190
41,41,0.0,0.0008506296,0.0,0.00064172415,0.0,0.00020806887,0.0,0.0034937696,0.0,0.0039183567,0.0,0.0006424386,0.0,0.004381827,0.0,0.00092245487,0.0,0.003424671,0.0,7.4283055e-09,0.0,0.018483946,O=S(Nc1sc(CC(C)C)nn1)(c2ccc(OC)cc2)=O,34014
42,42,0.0,0.0026166013,0.0,0.007762945,0.0,0.0059168357,0.0,0.010471603,0.0,0.016397433,0.0,0.08425239,0.0,0.011757517,0.0,0.016383335,0.0,0.02138746,0.0,0.000516173,0.0,0.1774623,Cc1ccc2N=C(\C=C\c3ccccc3Cl)C(=O)Nc2c1,34303
43,43,0.0,0.00518051,0.0,0.0019039587,0.0,0.0006445256,0.0,0.0017553825,0.0,0.00068048516,0.0,0.0037283516,0.0,0.0053112903,0.0,0.018613987,0.0,0.00012998113,0.0,0.0005511462,0.0,0.03849962,COc1cc(CC2C(COC2=O)C(=O)c3ccc4OCOc4c3)cc(OC)c1OC,34343
44,44,0.0,0.02000463,0.0,0.001431567,0.0,0.0023625966,0.0,0.07601079,0.0,0.058333766,0.0,8.8968525e-05,0.0,0.014570317,0.0,0.0044261706,0.0,0.007681506,0.0,0.00014753669,0.0,0.18505785,OCC(O)C(O)C(O)C(O)c1nc2ccccc2s1,34443
45,45,0.0,0.038227025,0.0,0.12503691,0.0,0.0027966795,0.0,0.041423533,0.0,0.05777887,0.0,0.26074755,0.0,0.21412447,0.0,0.015300714,0.0,0.0819389,0.0,0.03004659,0.0,0.86742127,CC1=NC2=C(C(=O)N1)NC(=N2)SCCO,34510
46,46,0.0,0.037382435,0.0,0.0031959247,0.0,0.0012129475,0.0,0.0045893565,0.0,0.0004721473,0.0,0.016977819,0.0,0.010110524,0.0,0.011186502,0.0,8.04614e-05,0.0,2.1001091e-05,0.0,0.08522912,COc1cc(CC2COC(=O)C2(O)Cc3ccc(O)c(OC)c3)ccc1O,35043
47,47,0.0,0.21328309,0.0,0.39530328,0.0,0.0025416946,0.0,0.02467269,0.0,0.008310166,0.0,0.08585264,0.0,0.028566454,0.0,0.029336425,0.0,0.00049443205,0.0,0.005564943,0.0,0.7939258,COc1cc(ccc1O)C2OCC3C2COC3c4ccc(O)c(OC)c4,35444
48,48,0.0,0.021353276,0.0,0.014662753,0.0,0.00072333694,0.0,0.018062256,0.0,0.011601432,0.0,0.018451247,0.0,0.0066968435,0.0,0.024631424,0.0,0.0014798534,0.0,0.0006384151,0.0,0.11830085,Nc1ncnc2c1ncn2Cc3ccccc3,35649
49,49,0.0,0.007345761,0.0,0.0077117146,0.0,5.4615673e-05,0.0,0.021091156,0.0,0.04399287,0.0,0.0011100061,0.0,0.039665036,0.0,0.005787956,0.0,0.010924123,0.0,1.7119422e-05,0.0,0.13770036,Nc1nc(SCCc2ccccc2)c3[nH]cnc3n1,35866
50,50,0.0,0.008059484,0.0,0.008129311,0.0,0.0037756949,0.0,0.010482647,0.0,0.004694391,0.0,0.0059581734,0.0,0.0049752793,0.0,0.013357674,0.0,0.0013974519,0.0,0.0001584717,0.0,0.060988575,NNc1ncnc2c1ncn2Cc3ccccc3,36299
51,51,0.0,0.20021056,0.0,0.40129143,0.0,0.0063431254,0.0,0.08592214,0.0,0.010774264,0.0,0.09349881,0.0,0.41605896,0.0,0.02008394,0.0,0.0011187706,0.0,0.010345228,0.0,1.2456472,C1Oc2ccc(cc2O1)C3OCC4C3COC4c5ccc6OCOc6c5,36403
52,52,0.0,0.0039006209,0.0,0.00039660852,0.0,0.00034102195,0.0,0.0026762374,0.0,0.00030103646,0.0,0.005142415,0.0,0.00200342,0.0,0.013040805,0.0,0.00021360365,0.0,0.0011753775,0.0,0.029191148,COc1cc(CC2C(COC2=O)C(O)c3ccc4OCOc4c3)cc(OC)c1OC,36563
53,53,0.0,0.024191894,0.0,0.02411743,0.0,0.07896669,0.0,0.016704313,0.0,0.023817629,0.0,0.14926484,0.0,0.027176738,0.0,0.010319444,0.0,0.022248952,0.0,0.024865126,0.0,0.40167305,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,36586
54,54,0.0,0.018365934,0.0,0.030491784,0.0,0.000681084,0.0,0.07106246,0.0,0.27349,0.0,0.0037406818,0.0,0.08102718,0.0,0.007000905,0.0,0.007431778,0.0,3.642636e-05,0.0,0.4933282,Nc1nc(SC\C=C\c2ccccc2)c3[nH]cnc3n1,36824
55,55,0.0,0.010063296,0.0,0.007922306,0.0,0.0006937742,0.0,0.008240943,0.0,0.059288956,0.0,0.0011599846,0.0,0.018648308,0.0,0.0029187175,0.0,0.0032011133,0.0,5.4686658e-05,0.0,0.112192094,Nc1nc(SCc2ccc(Cl)cc2Cl)c3[nH]cnc3n1,36825
56,56,0.0,0.0065750126,0.0,0.0063522663,0.0,0.00017680072,0.0,0.007888963,0.0,0.02811036,0.0,0.00070508587,0.0,0.009442015,0.0,0.0026622966,0.0,0.0027025323,0.0,0.00013330305,0.0,0.06474864,Nc1nc(SCc2ccccc2Cl)c3[nH]cnc3n1,36826
57,57,0.0,0.022605604,0.0,0.0201957,0.0,0.00077221903,0.0,0.024005162,0.0,0.12560338,0.0,0.005685696,0.0,0.060325556,0.0,0.008545654,0.0,0.038713306,0.0,9.878336e-05,0.0,0.30655107,CC(C)CSc1nc(N)nc2nc[nH]c12,38306
58,58,0.0,0.009687488,0.0,0.009357597,0.0,4.2175274e-05,0.0,0.012405198,0.0,0.074157156,0.0,0.00013934987,0.0,0.06382643,0.0,0.0049582836,0.0,0.004480702,0.0,3.803806e-06,0.0,0.17905818,Nc1nc(SCC(=O)c2ccccc2)c3[nH]cnc3n1,38309
59,59,0.0,0.0083594285,0.0,0.0068308557,0.0,0.0010648816,0.0,0.027576659,0.0,0.1599485,0.0,0.00043747752,0.0,0.034783024,0.0,0.006428533,0.0,0.0084629925,0.0,0.0002159216,0.0,0.25410828,Nc(nc1SCC2=CC=CC=C2)nc3c1[nH]c(C)n3,38731
60,60,0.0,0.025940023,0.0,0.048801545,0.0,0.00021445075,0.0,0.0093578445,0.0,0.05261258,0.0,4.830066e-05,0.0,0.053919725,0.0,0.004164585,0.0,0.015061144,0.0,4.0433797e-06,0.0,0.21012422,Nc1nc(SCC(=O)c2ccc(Br)cc2)c3[nH]cnc3n1,38733
61,61,0.0,0.010345611,0.0,0.0068810377,0.0,0.00035154648,0.0,0.093133815,0.0,0.17492805,0.0,0.013271234,0.0,0.1940179,0.0,0.005208109,0.0,0.018227044,0.0,0.0040537952,0.0,0.52041817,Nc1nc(SC2CCCCC2)c3[nH]cnc3n1,38734
62,62,0.0,0.0059249466,0.0,0.009577648,0.0,0.0006810837,0.0,0.015853476,0.0,0.03533735,0.0,0.0037406818,0.0,0.016703505,0.0,0.006186092,0.0,0.00916939,0.0,8.582851e-05,0.0,0.10326001,Nc1nc(SCCCc2ccccc2)c3[nH]cnc3n1,39328
63,63,0.0,0.015186088,0.0,0.00033134938,0.0,0.0007005604,0.0,0.0972561,0.0,0.027848681,0.0,0.011138086,0.0,0.06980075,0.0,0.11751825,0.0,0.017874159,0.0,0.0077687018,0.0,0.3654227,Nc1nc(Cc2ccccc2)nc(Cc3ccccc3)c1c4ccccc4,41663
64,64,0.0,0.01147078,0.0,0.0007807293,0.0,0.00068002706,0.0,0.016977763,0.0,0.04325856,0.0,0.00024137177,0.0,0.0069801514,0.0,0.023484861,0.0,0.0006295521,0.0,4.4367967e-05,0.0,0.10454816,Nc1nc(SCc2ccccc2)c3ncn(Cc4ccccc4)c3n1,42384
65,65,0.0,0.06320834,0.0,0.037582677,0.0,0.03406727,0.0,0.07713855,0.0,0.11599867,0.0,0.22830589,0.0,0.35271555,0.0,0.03626567,0.0,0.08674713,0.0,0.022736836,0.0,1.0547665,O=C1CCC(=O)Nc2ccc(cc2)c3ccc(N1)cc3,43213
66,66,0.0,0.12962882,0.0,0.12209663,0.0,0.1096575,0.0,0.05815668,0.0,0.075485945,0.0,0.17846999,0.0,0.01437451,0.0,0.021436553,0.0,0.040368643,0.0,7.363949e-05,0.0,0.7497488,[O-][N+](=O)c1cc(I)c(Br)c(I)c1,43216
67,67,0.0,0.07967982,0.0,0.025551729,0.0,0.059526656,0.0,0.16769075,0.0,0.0237819,0.0,0.11922955,0.0,0.04606636,0.0,0.019689512,0.0,0.04946325,0.0,0.00013045772,0.0,0.59081,Cc1cc(C)cc(NNc2cc(Br)cc(Br)c2)c1,43224
68,68,0.0,0.119516134,0.0,0.14149252,0.0,0.01455136,0.0,0.09692523,0.0,0.11291104,0.0,0.06414879,0.0,0.034651626,0.0,0.015011287,0.0,0.06238454,0.0,9.190866e-05,0.0,0.6616845,OC(=O)C1=C(C(=O)NC(=O)N1)[N+](=O)[O-],43248
69,69,0.0,0.020292342,0.0,0.03579447,0.0,0.050901037,0.0,0.069164865,0.0,0.11298016,0.0,0.0314756,0.0,0.055168156,0.0,0.014117721,0.0,0.15274586,0.0,2.487215e-05,0.0,0.54266506,COC(=O)c1cc(Cl)nc(SC)n1,43251
70,70,0.0,0.1148868,0.0,0.14008147,0.0,0.013356411,0.0,0.14186624,0.0,0.063089415,0.0,0.12290573,0.0,0.23701218,0.0,0.04035736,0.0,0.4581322,0.0,0.0005560598,0.0,1.3322438,CSc1ccnc(N)n1,43261
71,71,0.0,0.02745364,0.0,8.249581e-05,0.0,0.014113243,0.0,0.03722473,0.0,0.01216037,0.0,0.007063304,0.0,0.02523079,0.0,0.009453117,0.0,0.00211462,0.0,1.22745505e-05,0.0,0.13490859,Clc1ccc(CSc2cc(SCc3ccc(Cl)cc3Cl)nc(SCc4ccc(Cl)cc4Cl)n2)c(Cl)c1,43263
