Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
1,"Avalon","[256,128]",0.951035781544256,0.9374082613462246,0.943244094488189,0.9400728127928047,0.9611548556430447,0.9694722425919323,0.979111111111111,891,1
2,"Avalon","[256,64]",0.9544256120527308,0.9443258706476799,0.943989501312336,0.9437952219529763,0.967979002624672,0.968060849742032,0.9793140857392825,891,1
3,"Avalon","[256,32]",0.9472693032015066,0.9310515710694306,0.9414278215223097,0.9357830193066426,0.9548556430446193,0.9638585773491475,0.9770358705161856,887,5
4,"Avalon","[256,16]",0.9525423728813559,0.9447729809803714,0.9382309711286089,0.9409415728015267,0.9711286089238845,0.9668979612662717,0.9772143482064741,889,3
5,"Avalon","[256,128,64]",0.9525423728813559,0.9420881329428468,0.9410603674540683,0.9414226077502935,0.9674540682414697,0.9675003263025068,0.9783727034120734,892,0
6,"Avalon","[256,128,32]",0.952542372881356,0.9384068873236739,0.9459107611548557,0.9419925861259214,0.9611548556430446,0.9673825571450188,0.9783937007874016,891,1
7,"Avalon","[256,64,32]",0.9461393596986817,0.9318944058572051,0.9365984251968502,0.9340008481663112,0.9585301837270341,0.9634284814964047,0.977259842519685,892,0
8,"Avalon","[256,64,16]",0.9499058380414314,0.9379625312243036,0.9392230971128608,0.9383880656554201,0.9637795275590552,0.9617653530058922,0.9751741032370955,891,1
9,"Avalon","[512,256]",0.9536723163841808,0.9397610533706228,0.9471023622047244,0.9432801233377601,0.9622047244094489,0.9680639019928501,0.9787191601049867,888,4
10,"Avalon","[512,128]",0.951035781544256,0.9408230314947907,0.9387979002624671,0.9395426327584063,0.9669291338582677,0.9659529421550213,0.978204724409449,886,6
11,"Avalon","[512,64]",0.9495291902071562,0.9330594177404679,0.9450236220472441,0.9386662248981992,0.9553805774278216,0.969043759206056,0.978894138232721,890,2
12,"Avalon","[512,256,128]",0.9506591337099811,0.9377366240588222,0.9421732283464568,0.9395680352508877,0.9616797900262467,0.9653621692098084,0.9768783902012249,889,3
13,"Avalon","[512,256,64]",0.9483992467043315,0.9357521476573367,0.9377690288713911,0.9365179161948604,0.9622047244094487,0.9653032633334664,0.9772738407699038,890,2
14,"Avalon","[512,128,64]",0.9555555555555555,0.9460045038386017,0.9443727034120734,0.9450906768852025,0.9700787401574804,0.9684164365770951,0.9788556430446194,891,1
15,"Avalon","[128,64]",0.9532956685499057,0.944855401884117,0.9395643044619424,0.9420175109674759,0.9711286089238845,0.9674170603089574,0.9775328083989502,890,2
16,"Avalon","[128,32]",0.9544256120527308,0.9419804421470663,0.9464146981627296,0.9440888118638865,0.9648293963254593,0.9689775067386632,0.9781837270341207,889,3
17,"Avalon","[128,16]",0.9502824858757062,0.9380389258773174,0.9406981627296588,0.9389742983282406,0.962729658792651,0.9658818432106455,0.9768993875765529,892,0
18,"Avalon","[128,64,32]",0.9476459510357815,0.934996499616998,0.9376482939632546,0.9357351877747035,0.9606299212598426,0.9650966134657567,0.9756080489938757,888,4
19,"Avalon","[128,64,16]",0.9495291902071562,0.938888014073088,0.9377480314960629,0.9378011784673219,0.9648293963254593,0.9654933360854985,0.9762659667541558,892,0
20,"Avalon","[128,32,16]",0.951035781544256,0.9388809352678795,0.9416272965879265,0.9399279299212935,0.963254593175853,0.9650943664372459,0.9772983377077866,890,2
21,"Avalon","[64,32]",0.9559322033898306,0.9498713136548398,0.9414015748031496,0.945199692463586,0.9748031496062992,0.9609736415959297,0.9762274715660542,891,1
22,"Avalon","[64,16]",0.9548022598870055,0.9453615498685426,0.9430393700787402,0.9441114442807523,0.9700787401574804,0.9634656184671279,0.9753070866141733,892,0
23,"Avalon","[64,32,16]",0.9532956685499059,0.943915782904452,0.9407769028871391,0.9421801849872496,0.9695538057742782,0.9655064890398984,0.9768853893263341,890,2
24,"Avalon","[32,16]",0.9536723163841808,0.9489865438856195,0.9361889763779528,0.9419857148453025,0.9763779527559053,0.9645858779772052,0.9767174103237096,892,0
25,"Avalon","[32,8]",0.9544256120527308,0.94774217635023,0.939543307086614,0.9433122134268768,0.973753280839895,0.9649114748100412,0.9757935258092738,891,1
26,"Avalon","[32,16,8]",0.943879472693032,0.9328573989474268,0.9301732283464567,0.9306775010818331,0.9616797900262467,0.9630825441090461,0.9761749781277341,890,2
27,"Avalon","[32,4]",0.9525423728813559,0.9509407450687583,0.9321679790026247,0.9402430610919643,0.979002624671916,0.947244909920876,0.9637007874015747,848,44
28,"Avalon","[16,8]",0.9491525423728813,0.9421311437065972,0.9322309711286089,0.9364828847036885,0.9711286089238845,0.9635121593370674,0.9751181102362205,890,2
