Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
1,"Avalon","[256,128]",0.9389830508474576,0.9280487804878048,0.9280487804878048,0.9280487804878048,0.9560975609756097,0.94210441442324,0.9586449864498645,891,1
2,"Avalon","[256,64]",0.9322033898305084,0.9200542005420054,0.9200542005420054,0.9200542005420054,0.9512195121951219,0.9467487601909125,0.9595121951219513,891,1
3,"Avalon","[256,32]",0.9186440677966101,0.9167151162790698,0.8884823848238482,0.9008403361344537,0.9658536585365853,0.9384330343775646,0.9582655826558265,887,5
4,"Avalon","[256,16]",0.9186440677966101,0.9320814648729447,0.8760162601626016,0.8978885427483558,0.9853658536585366,0.9464307883686391,0.9621138211382114,889,3
5,"Avalon","[256,128,64]",0.9152542372881356,0.9253054424287301,0.8735772357723577,0.8940388787517421,0.9804878048780488,0.9492622492812001,0.964119241192412,892,0
6,"Avalon","[256,128,32]",0.911864406779661,0.9274603174603175,0.8649051490514905,0.8885174418604651,0.9853658536585366,0.9409326266340827,0.9608130081300812,891,1
7,"Avalon","[256,64,32]",0.9050847457627119,0.9026349994091929,0.8693766937669376,0.8834913112164298,0.9609756097560975,0.9403922446472585,0.9607046070460704,892,0
8,"Avalon","[256,64,16]",0.8915254237288136,0.9037639284788805,0.8378048780487805,0.8616971401781528,0.975609756097561,0.9358538633111462,0.959457994579946,891,1
9,"Avalon","[512,256]",0.9084745762711864,0.8846834546925566,0.9123306233062332,0.8960467756881272,0.9024390243902439,0.9483932415635778,0.9581571815718156,888,4
10,"Avalon","[512,128]",0.9254237288135593,0.9057028902931732,0.9245257452574527,0.9141261776225257,0.926829268292683,0.9464852747255585,0.9606504065040651,886,6
11,"Avalon","[512,64]",0.9288135593220339,0.911578947368421,0.9238482384823848,0.9173173173173174,0.9365853658536586,0.946796912676074,0.9607588075880759,890,2
12,"Avalon","[512,256,128]",0.9355932203389831,0.9210582348557437,0.9287262872628725,0.9247459083524657,0.9463414634146341,0.9535085418175514,0.9648780487804877,889,3
13,"Avalon","[512,256,64]",0.9254237288135593,0.9069828308207706,0.9214092140921409,0.9136324922814862,0.9317073170731708,0.9401892463720487,0.9566937669376694,890,2
14,"Avalon","[512,128,64]",0.9186440677966101,0.9237262677241047,0.8822493224932249,0.8994089565810411,0.975609756097561,0.9510501561542203,0.9650948509485094,891,1
15,"Avalon","[128,64]",0.9152542372881356,0.9108976577823931,0.8860433604336043,0.8970676492344625,0.9609756097560975,0.9372063142864473,0.9554471544715446,890,2
16,"Avalon","[128,32]",0.8915254237288136,0.9137919372294372,0.8315718157181572,0.859406648397474,0.9853658536585366,0.9331644615706918,0.9499728997289973,889,3
17,"Avalon","[128,16]",0.8779661016949153,0.9178496712492528,0.8031165311653117,0.8361717882265828,0.9951219512195122,0.933191792171701,0.9573441734417344,892,0
18,"Avalon","[128,64,32]",0.9152542372881356,0.8975034600234217,0.9047425474254742,0.9009814583585075,0.9317073170731708,0.932364363095218,0.9563143631436314,888,4
19,"Avalon","[128,64,16]",0.8915254237288136,0.8953350772296961,0.8440379403794038,0.8638513903311411,0.9658536585365853,0.9227621597434934,0.9500813008130081,892,0
20,"Avalon","[128,32,16]",0.8983050847457628,0.9045216741405082,0.8520325203252033,0.8723606784354447,0.9707317073170731,0.9225671559349754,0.9459620596205961,890,2
21,"Avalon","[64,32]",0.8745762711864407,0.8864548494983278,0.8131436314363143,0.8381164256581386,0.9707317073170731,0.9095280427283827,0.953550135501355,891,1
22,"Avalon","[64,16]",0.8745762711864407,0.9159090909090909,0.7975609756097561,0.8308407593955831,0.9951219512195122,0.9305109365454646,0.9518157181571816,892,0
23,"Avalon","[64,32,16]",0.8576271186440678,0.8984647040202596,0.77289972899729,0.805237676056338,0.9902439024390244,0.8678751112964708,0.9409214092140921,890,2
24,"Avalon","[32,16]",0.7322033898305085,0.8232405891980361,0.5642276422764227,0.5353960248001435,0.9951219512195122,0.9048532811603403,0.9419512195121952,892,0
25,"Avalon","[32,8]",0.8711864406779661,0.8943262411347518,0.8013550135501355,0.8301515151515152,0.9804878048780488,0.9051153348435562,0.939349593495935,891,1
26,"Avalon","[32,16,8]",0.7593220338983051,0.8713768115942029,0.6055555555555555,0.6005073528009308,1.0,0.9073352521704794,0.943089430894309,890,2
27,"Avalon","[32,4]",0.9661016949152542,0.9658117280516302,0.9537940379403794,0.9595136144049188,0.9853658536585366,0.9751624391348303,0.9750677506775067,848,44
28,"Avalon","[16,8]",0.6949152542372882,0.3474576271186441,0.5,0.41,1.0,0.587397730787386,0.7853658536585366,890,2
